[2025-06-20 15:22:49] System: CPU=75.5%, Mem=47.6%, Net=102MB Sent
[2025-06-20 15:22:52] System: CPU=46.5%, Mem=47.6%, Net=102MB Sent
[2025-06-20 15:22:55] System: CPU=36.7%, Mem=47.5%, Net=102MB Sent
[2025-06-20 15:22:58] System: CPU=36.7%, Mem=47.4%, Net=102MB Sent
[2025-06-20 15:23:01] System: CPU=39.1%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:04] System: CPU=45.8%, Mem=47.2%, Net=102MB Sent
[2025-06-20 15:23:07] System: CPU=44.7%, Mem=47.2%, Net=102MB Sent
[2025-06-20 15:23:10] System: CPU=23.8%, Mem=47.2%, Net=102MB Sent
[2025-06-20 15:23:13] System: CPU=59.2%, Mem=47.2%, Net=102MB Sent
[2025-06-20 15:23:16] System: CPU=25.2%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:19] System: CPU=53.1%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:22] System: CPU=54.8%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:25] System: CPU=44.7%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:28] System: CPU=36.9%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:31] System: CPU=34.6%, Mem=47.2%, Net=102MB Sent
[2025-06-20 15:23:34] System: CPU=47.1%, Mem=47.2%, Net=102MB Sent
[2025-06-20 15:23:35] backgroundTaskHost.exe | PID: 7128 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\backgroundTaskHost.exe | Threat: Low
[2025-06-20 15:23:36] backgroundTaskHost.exe | PID: 7128 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\backgroundTaskHost.exe | Threat: Low
[2025-06-20 15:23:37] System: CPU=44.6%, Mem=47.4%, Net=102MB Sent
[2025-06-20 15:23:40] System: CPU=49.6%, Mem=47.4%, Net=102MB Sent
[2025-06-20 15:23:43] System: CPU=53.5%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:46] System: CPU=40.2%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:49] System: CPU=26.5%, Mem=47.3%, Net=102MB Sent
[2025-06-20 15:23:52] System: CPU=67.2%, Mem=47.3%, Net=103MB Sent
[2025-06-20 15:23:55] System: CPU=52.6%, Mem=47.3%, Net=103MB Sent
[2025-06-20 15:23:58] System: CPU=45.6%, Mem=47.4%, Net=103MB Sent
[2025-06-20 15:24:01] System: CPU=35.6%, Mem=47.3%, Net=103MB Sent
[2025-06-20 15:24:04] System: CPU=42.6%, Mem=47.3%, Net=103MB Sent
[2025-06-20 15:24:07] System: CPU=34.6%, Mem=47.3%, Net=103MB Sent
[2025-06-20 15:24:10] System: CPU=54.2%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:13] System: CPU=56.0%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:16] System: CPU=39.1%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:19] System: CPU=45.7%, Mem=47.2%, Net=104MB Sent
[2025-06-20 15:24:22] System: CPU=41.8%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:25] System: CPU=35.3%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:28] System: CPU=49.4%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:31] System: CPU=35.4%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:34] System: CPU=39.7%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:37] System: CPU=51.0%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:40] System: CPU=34.4%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:43] System: CPU=39.8%, Mem=47.3%, Net=104MB Sent
[2025-06-20 15:24:46] System: CPU=56.2%, Mem=47.4%, Net=104MB Sent
[2025-06-20 15:24:49] System: CPU=45.4%, Mem=47.4%, Net=104MB Sent
[2025-06-20 15:24:52] System: CPU=57.9%, Mem=47.5%, Net=104MB Sent
[2025-06-20 15:24:55] System: CPU=31.2%, Mem=47.4%, Net=104MB Sent
[2025-06-20 15:24:58] System: CPU=34.1%, Mem=47.4%, Net=105MB Sent
